lineage,CRYAA,CRYAB,DNAJA1,DNAJA2,DNAJA3,DNAJA4,DNAJB1,DNAJB11,DNAJB12,DNAJB13,DNAJB14,DNAJB2,DNAJB4,DNAJB5,DNAJB6,DNAJB7,DNAJB8,DNAJB9,DNAJC1,DNAJC10,DNAJC11,DNAJC12,DNAJC13,DNAJC14,DNAJC15,DNAJC16,DNAJC17,DNAJC18,DNAJC19,DNAJC2,DNAJC21,DNAJC22,DNAJC24,DNAJC25,DNAJC27,DNAJC28,DNAJC3,DNAJC30,DNAJC4,DNAJC5,DNAJC5B,DNAJC6,DNAJC7,DNAJC8,DNAJC9,GAK,HSCB,HSP90AA1,HSP90AB1,HSP90B1,HSPA12A,HSPA12B,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA8,HSPA9,HSPB1,HSPB11,HSPB2,HSPB3,HSPB6,HSPB7,HSPB8,HSPB9,HSPD1,HSPE1,HSPH1,HYOU1,ODF1,SACS,SEC63,TRAP1
Brain Cancer,-0.031782025,0.112933116,-0.524820948,0.014701347,-0.708100588,0.077353804,-0.431998947,-0.128484569,-0.412878463,0.036084586,0.064451595,0.062525209,-0.13120808,-0.045014095,-0.415690672,-0.088239078,-0.097315155,-0.18465494,0.106539402,-0.045564145,-0.853380095,-0.118138614,-0.534424405,-0.149174713,0.046469657,-0.137301652,-1.138997116,0.137816505,-0.087307306,-0.327075767,-0.137728681,-0.353498565,-0.146118268,-0.125184571,0.058614792,0.155747497,0.19257329,-0.112280455,0.03663742,-0.021786371,-0.039579592,0.046612844,-0.026011569,-0.685710653,-1.418173574,-0.273933057,-0.942069772,-0.061980662,-0.350453651,-0.59714889,0.03194086,0.118224641,-0.186550864,-0.91292607,-0.186808069,-0.233862697,0.029129864,0.168100852,0.00777494,0.029056918,-1.008737871,-0.148087348,-0.073522458,-1.130064123,0.014898105,0.039349383,-0.130875648,-0.034975256,-0.038879487,-0.179751903,0.065780873,-0.236313441,-0.829041616,-1.664969312,0.052744739,-0.961298832,-0.049213665,-0.571410519,-0.728491746,-0.025089409
Breast Cancer,0.008619705,0.050069067,-0.642301333,-0.059151639,-0.607711917,0.094610797,-0.164209711,-0.059861585,-0.221349569,-0.181198128,0.17187242,0.004466342,-0.016840897,0.040285533,-0.450938918,-0.191251561,-0.224994992,-0.160926355,0.092156144,0.070698789,-0.637924164,0.094921172,-0.149007213,-0.110700772,-0.058121251,-0.006411247,-1.382179343,0.08319703,-0.234540383,0.036991497,0.154799886,-0.230462428,-0.106618199,0.171599745,0.368816235,0.073079445,0.10761387,-0.112363222,0.118200486,-0.056347687,-0.13777879,0.066975252,-0.138200615,-0.707206497,-1.183856902,-0.424344113,-0.868681115,-0.215976624,-0.210398229,-0.149131625,0.263124665,0.019021494,-0.155102259,-0.858309761,-0.169444855,-0.212941409,0.013891626,0.267416388,0.010113782,-0.02884547,-0.847357613,0.041378035,-0.349456093,-1.252036093,0.223663011,0.161003891,-0.212368567,0.135470014,0.13677502,-0.148092297,-0.069651158,-0.066633063,-0.987603192,-1.17364324,-0.021831585,-1.027182367,-0.246001762,0.051456675,-0.542259615,0.012065149
Lung Cancer,0.081892101,0.120456731,-0.398544012,0.014880224,-0.571572554,-0.022711309,-0.320663845,-0.366230222,-0.505826389,-0.112160861,0.051808951,0.094126944,0.004106398,-0.062958116,-0.219928301,-0.059300101,-0.039931129,0.100791964,0.034047309,-0.088178495,-0.817843221,-0.148083515,-0.061561914,-0.006656467,0.023390012,-0.079846129,-1.182665183,-0.07410839,-0.046964725,-0.172714641,-0.038317559,-0.083177397,-0.127031716,0.149407241,0.131637198,-0.041240646,-0.146270191,-0.002053287,0.100537316,-0.012235324,-0.162583767,0.016555071,-0.251685333,-0.689875854,-0.585783893,-0.597265196,-0.790101656,0.035197664,-0.227928357,-0.693164366,0.047879516,0.075892011,-0.288363844,-0.335221506,-0.143624949,-0.18181465,-0.006951586,0.111613097,0.091863645,-0.003786144,-0.951330612,0.015259457,-0.35900724,-1.283300265,0.089162612,-0.112181573,0.012698782,0.066724391,-0.130488417,-0.145442553,0.044536152,-0.085592236,-0.987708535,-1.532812863,-0.026566099,-1.135798097,-0.125680716,0.007107637,-0.574311841,0.061286302
Lung Cancer,0.050723268,0.083781327,-0.547773146,0.070679367,-0.710250518,-0.023890005,-0.586406398,-0.377907441,-0.405836589,-0.077156919,0.242092298,0.053157246,-0.012728105,-0.002106987,-0.239211351,-0.116871166,-0.210719773,-0.051809805,0.110757069,-0.035020246,-0.616008759,0.020743232,-0.355785049,-0.276074604,0.075342702,-0.140916148,-1.350987333,0.285766754,-0.171040381,-0.022730714,-0.267287323,-0.180028275,-0.000668544,0.362286709,0.320523821,0.185579076,-0.006160638,-0.36173526,0.022049793,0.102998499,-0.218118985,-0.218663116,-0.236714827,-0.605132152,-0.946769103,-0.319709929,-0.607756716,-0.29590894,-0.689188847,-0.421324752,0.178727421,-0.049205065,-0.118307092,-0.25452073,-0.305863457,-0.329801939,-0.148199152,0.330124855,-0.180360049,0.085728325,-1.094962285,-0.065679671,0.018178872,-1.189135416,-0.026706612,-0.026398234,-0.119262027,0.12759414,0.102927318,-0.418624042,0.130935139,-0.48511412,-0.872541045,-1.671755096,-0.022695627,-1.141828426,-0.215684529,-0.111829715,-0.819344736,-0.047440521
Brain Cancer,-0.129587608,0.021454431,-0.421988173,-0.344769285,-0.7241176,0.166044986,-0.144337077,-0.389271521,-0.306524325,-0.041666005,0.090591315,0.00058563,0.011474099,-0.034653446,-0.486282799,-0.074172283,-0.039992404,-0.293708372,0.109796933,0.01863884,-0.820385944,-0.144362419,-0.041411083,-0.209325187,-0.02867041,-0.245488119,-1.29623804,0.11934539,-0.215779764,-0.15893054,-0.236561715,-0.110933026,-0.129119076,0.220558713,0.317477304,0.105499913,-0.202122826,-0.130408846,0.035869229,0.008164055,-0.131146767,0.143535717,-0.027104665,-0.695737985,-0.90414558,-0.559858387,-1.000986525,-0.178310297,-0.424189201,-0.101862825,0.17706242,-0.051307025,-0.483953207,-0.605517719,-0.22135727,-0.249399572,0.088703485,0.006946573,-0.189889163,-0.120594632,-1.024573607,0.119417282,-0.314357824,-1.119415005,0.11606869,0.038344749,-0.147531373,0.115970072,-0.170904395,-0.172922085,0.104261661,-0.334428084,-0.686825101,-1.243344469,-0.114699599,-0.933596374,-0.091704352,-0.201729425,-0.936946652,-0.122015926
Sarcoma,0.037281503,0.013341642,-0.447277109,-0.180174625,-0.409956198,0.084391415,-0.230183798,-0.14317804,-0.336541907,-0.321610236,0.059544973,0.006181367,0.068477176,0.103130196,-0.36969324,-0.031666284,0.073455338,0.045590498,0.067045934,0.004743197,-0.814827599,-0.138495613,-0.202741702,-0.175919587,0.024965144,-0.328787632,-0.414387419,0.11917097,-0.11434109,-0.092580468,-0.05655243,-0.061322979,-0.028960747,0.167780232,0.056925519,-0.009027226,-0.058143173,-0.177962805,-0.092340835,0.021549443,-0.068700327,0.088257299,-0.003155391,-0.653429699,-1.53984441,-0.506275397,-0.380781891,0.160250976,-0.112887798,-0.194161231,0.074525018,0.041178258,-0.078055713,-0.234427352,-0.034326457,-0.193554693,0.008144927,0.048954241,-0.192576675,0.021449607,-0.452447398,-0.055245537,-0.127670031,-1.348944553,-0.096288636,-0.020709645,0.037611864,-0.043245029,0.056709418,-0.024767844,-0.072557002,-0.186719726,-0.357653895,-1.075233264,-0.085638746,-0.381402101,-0.211502229,0.070059653,-0.266572907,0.020874143
Bone Cancer,0.082086165,0.047872255,-0.440934548,-0.213039347,-0.677674655,0.066758646,-0.312149033,-0.191253653,-0.485658414,0.053749932,0.031649399,0.188560733,0.129714073,0.048656833,-0.44859076,-0.044786078,0.007220298,-0.204637255,-0.001413468,0.004597566,-0.520335513,-0.144275308,-0.196273555,0.118588152,0.250500056,-0.26919085,-1.223887466,-0.056977966,-0.386348496,-0.354103002,-0.121391962,-0.020797379,-0.123809054,-0.125069042,0.259385374,-0.122655115,-0.124820669,-0.163597951,0.208731949,-0.009585234,-0.159247146,0.153859969,0.15482071,-0.688190545,-0.683269264,-0.29536951,-0.25658163,-0.089448617,-0.361764326,-0.459813219,0.034549935,0.167086621,-0.308816155,-0.268226056,-0.40450578,-0.273672175,-0.119445939,0.237224739,-0.006661755,0.050078478,-0.771421619,-0.240611285,-0.340199499,-1.26353681,-0.103134803,-0.111282738,-0.002490086,0.081032122,-0.310395256,-0.229727458,0.162392416,-0.150607429,-0.895227787,-1.8047459,-0.155147762,-0.896595925,-0.367752954,0.003889507,-0.821614117,0.036583366
Brain Cancer,0.023402211,0.11037041,-0.227962346,0.096244023,-0.629207687,0.123417895,-0.248459219,-0.132564603,-0.278296723,-0.006840892,0.066941709,0.032903025,0.099047929,0.085612915,-0.119229619,0.200238966,-0.012889042,0.061718361,0.124100056,-0.002534972,-0.540138482,-0.102396874,-0.323765705,-0.051408465,0.051905136,-0.149354071,-1.043623884,0.102363867,-0.080260566,-0.138691259,0.012561123,-0.179059958,0.031913835,0.097278643,0.158910098,0.214087591,-0.052780444,-0.218931504,0.248471869,-0.034764523,-0.007690999,-0.149722089,0.169237614,-0.674478167,-0.977778852,-0.615513476,-0.674311915,-0.142941386,-0.490103398,-0.385119597,0.086600048,0.02499154,-0.223841963,-0.135067657,-0.245836895,-0.127380748,-0.22110683,0.222524291,-0.047858172,0.090833182,-0.922968132,-0.223273778,-0.453189591,-1.263619992,0.150484907,0.092623658,0.009396892,0.15587548,-0.180481419,-0.285392078,0.105796966,-0.2399555,-1.098338325,-1.507260541,-0.134394071,-1.190523033,-0.249750413,-0.083158915,-0.358805063,-0.047296298
Bone Cancer,0.243080424,-0.033075852,-0.448499127,-0.094563496,-0.722173742,0.078908091,-0.26010515,-0.118494711,-0.389494139,-0.137615065,0.145620314,0.134466189,0.141847168,0.045413453,-0.286039952,-0.053676987,-0.173599305,0.034686816,0.053080763,0.05697419,-0.135940517,0.136793198,-0.053556344,-0.214147051,0.103750864,-0.090324814,-1.246443961,0.337964698,-0.163173631,0.132198716,0.282847397,-0.31294329,0.067161246,0.296881676,0.245339589,0.208428643,0.291305756,-0.23394413,0.203724457,-0.010184512,-0.074502448,-0.114138961,-0.112919104,-0.693434084,-1.184033861,-0.254487185,-0.763873139,-0.031190746,-0.591961406,-0.350035853,0.080552875,0.009344265,0.089944206,-0.474959033,-0.02564846,-0.214376017,-0.150933002,0.07130343,0.31370014,0.194542579,-0.893747953,0.233076916,0.009945055,-1.234834445,0.297987549,0.250625307,-0.236012514,-0.003208184,0.209232877,-0.254798313,0.166569265,-0.344007513,-0.870226038,-1.60611033,-0.049617749,-0.744354579,-0.240502391,0.121656406,-0.305543398,-0.009142464
Pancreatic Cancer,0.136067321,0.074211342,-0.414773593,-0.061841916,-0.427012501,-0.0346138,-0.351578599,-0.146468817,-0.257363656,-0.189399236,0.154588446,0.069399575,0.103647926,-0.053826504,-0.52357914,-0.007222427,-0.268704792,0.086456477,0.186136396,-0.097398828,-0.532009769,0.053810417,-0.153049381,-0.019808806,0.0302901,-0.095762318,-1.243254582,0.056342465,-0.2836096,-0.128561613,-0.006476808,-0.116794372,0.172833981,0.130083991,0.069079922,0.118614708,0.093772236,-0.203437546,0.050755265,-0.059592015,-0.218026163,0.003938683,-0.063555693,-0.619897864,-0.577062778,-0.592271712,-0.341085309,-0.204872116,-0.186428348,-0.410403079,-0.021127253,-0.180008801,-0.152466244,-0.28474641,-0.247637817,-0.164905388,-0.236249406,0.240433682,-0.10176389,0.107965654,-1.169839828,0.177065292,-0.028684089,-1.118264054,0.29850968,0.046464029,-0.051104564,0.165926484,0.143347871,-0.216603672,-0.009950271,-0.081339512,-0.694966813,-1.518366633,-0.011150617,-1.140480658,-0.239929677,-0.022456605,-0.557188006,0.010757507
