lineage,CRYAA,CRYAB,DNAJA1,DNAJA2,DNAJA3,DNAJA4,DNAJB1,DNAJB11,DNAJB12,DNAJB13,DNAJB14,DNAJB2,DNAJB4,DNAJB5,DNAJB6,DNAJB7,DNAJB8,DNAJB9,DNAJC1,DNAJC10,DNAJC11,DNAJC12,DNAJC13,DNAJC14,DNAJC15,DNAJC16,DNAJC17,DNAJC18,DNAJC19,DNAJC2,DNAJC21,DNAJC22,DNAJC24,DNAJC25,DNAJC27,DNAJC28,DNAJC3,DNAJC30,DNAJC4,DNAJC5,DNAJC5B,DNAJC6,DNAJC7,DNAJC8,DNAJC9,GAK,HSCB,HSP90AA1,HSP90AB1,HSP90B1,HSPA12A,HSPA12B,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA8,HSPA9,HSPB1,HSPB11,HSPB2,HSPB3,HSPB6,HSPB7,HSPB8,HSPB9,HSPD1,HSPE1,HSPH1,HYOU1,ODF1,SACS,SEC63,TRAP1
Kidney Cancer,0.192263286,0.091889213,-0.62657995,-0.090435775,-0.669609526,0.394805998,-0.461806261,0.035836897,-0.202254873,-0.389684876,-0.139893662,0.16812639,0.075982596,-0.233204905,-0.222251613,0.184476561,-0.058558054,0.035051127,-0.108863684,-0.016804522,-0.2009491,-0.223389556,-0.117008001,-0.137388078,0.004944992,-0.395283086,-1.206099803,0.057165113,-0.122483812,-0.277105529,0.070082335,-0.086428791,0.084353111,0.020052769,0.058266563,0.12234392,-0.217971935,-0.232088833,-0.083255618,-0.172576107,-0.124063883,0.172789267,0.136612506,-1.014822756,-0.875809282,-0.281215853,-0.579113673,-0.099461534,-0.625676872,-0.421701283,0.415493367,0.049085658,-0.128378706,-0.291674426,-0.073466715,-0.529275991,-0.034234097,0.211870271,-0.163728301,-0.003853902,-1.054699611,-0.079879113,-0.404617689,-1.200661925,-0.101305953,-0.102877846,0.013351465,0.013507141,-0.070270373,-0.104852693,0.170953791,-0.533147369,-0.858100745,-1.901586169,-0.012858195,-1.155364158,-0.232137083,-0.115270256,-0.708588095,-0.101719056
Lymphoma,0.292996968,0.11561249,-0.498492541,0.032940798,-0.665638114,-0.050908089,-0.339117001,-0.33685996,-0.331702839,-0.158047901,0.229808125,0.062193803,0.123360689,-0.09556069,-0.399136201,0.07246714,-0.018055771,-0.048925904,0.373594415,-0.246595348,-0.788049784,-0.064218445,-0.305489291,0.004361095,0.195210957,-0.009781019,-1.307282251,0.088221482,-0.380812613,-0.012476624,-0.267824491,-0.187535347,-0.183807077,0.00290134,0.179791021,0.186723342,-0.378850691,-0.328083341,0.276279291,0.303448241,0.079375351,-0.303028775,0.165844616,-0.987654193,-1.165791407,-0.758484796,-0.813517908,-0.373746009,-0.430985072,-0.457626715,0.143008933,0.118102257,-0.364823723,-0.473396255,-0.275731429,-0.245850807,-0.158535849,0.039381817,0.110180864,0.072881343,-1.342481705,-0.095715119,-0.40864392,-1.01424641,0.399622886,-0.053776424,0.013563952,-0.090208937,0.063100376,-0.286058026,0.140943024,-0.21978272,-0.97557047,-1.397782517,-0.137676612,-1.206198748,-0.318577911,-0.050475353,-0.613967768,-0.026067083
Leukemia,-0.051261372,0.015760545,-0.3068206,-0.133920663,-0.713225238,0.103267445,-0.10754952,-0.241062478,-0.298716725,-0.167013154,-0.019658481,0.038277669,-0.093019581,-0.0353843,-0.682599493,0.143250987,-0.110617801,0.01970914,-0.035699371,-0.013541407,-0.741216522,0.062193297,-0.200273882,-0.142475925,0.011458841,-0.055341397,-1.283590606,0.107259719,0.004915933,-0.492502769,-0.314975708,-0.162356224,-0.200960319,0.102660203,0.221802416,0.024566864,0.149527222,-0.204756761,0.002660378,-0.048829484,0.014119118,-0.038445563,0.07031649,-0.595423746,-1.212284881,-0.621540442,-0.46114492,-0.083981395,-0.350387651,-0.128108963,0.075665464,-0.007754117,-0.133709506,-0.929221451,-0.231129169,-0.291740558,-0.266920047,0.122328265,-0.191492161,-0.086168882,-0.926522539,-0.078683526,-0.188056697,-1.116066182,0.067884679,0.091682414,-0.086297374,0.004646854,0.084167705,-0.216452101,0.046727228,-0.12277907,-1.101169954,-1.313117629,-0.00567269,-1.04630682,-0.07117931,0.001942597,-0.351984124,-0.000474874
Neuroblastoma,0.007757963,0.183450448,-0.922837436,-0.300466085,-0.55862659,0.326057491,-0.509574507,-0.501443013,-0.607580067,0.274406224,0.012953724,-0.103271055,-0.226259504,-0.40807508,-1.007360257,0.300964203,0.345626154,-0.331165311,0.120885925,-0.458595739,-0.393864438,-0.101130503,-0.269257389,-0.370751351,0.257785966,0.179544149,-1.236686011,0.223856732,-0.187275505,-0.788220198,0.203371588,0.126235833,0.090862472,0.418408934,0.036568438,0.113566704,0.050104225,-0.83138476,-0.181091228,-0.807839466,0.160854005,0.268507848,0.145398548,-0.880501027,-1.916971918,-0.187041265,-0.747730287,-0.683482166,-0.935229013,-0.82822254,0.096100834,0.358703602,0.030079222,-0.509814431,-0.140172612,-0.89609463,-0.591489672,0.49515435,-0.0186093,-0.013266262,-0.618927081,-0.19970864,-0.61804655,-1.142237909,0.738010064,-0.152960075,-0.119131105,-0.010858049,-0.50973476,0.055032956,-0.278304751,-0.582655359,-0.863317638,-1.506542546,0.190436995,-0.632452466,0.21984588,0.602350738,-0.39532764,-0.293831465
Myeloma,0.058361124,0.161870198,-0.605723683,0.072925707,-0.69709963,0.253993667,-0.147126003,-0.596180454,0.031073245,-0.122169246,0.234687421,-0.004328739,0.091518954,0.028833786,-0.568729796,-0.296677956,-0.331681645,-0.265547125,-0.121014823,-0.023829568,-0.713243744,0.026130461,-0.211490208,-0.304317436,0.100872416,-0.339597075,-1.115174606,-0.006283134,-0.329648147,0.225428021,0.271040005,-0.158534149,0.018798704,0.012232188,0.558089746,0.320410693,0.098313543,0.036535055,0.038959614,0.268270393,-0.374223692,-0.046797653,-0.029189989,-0.787278099,-1.212852498,-0.357395053,-0.34045629,-0.125332584,-0.438821922,-0.771056681,0.010777935,0.210409816,-0.102328058,-0.418724687,-0.15081306,-0.305224822,-0.089061874,0.346417984,0.326957394,0.237210974,-0.80283919,-0.508086066,-0.023047607,-1.422397228,0.097971308,-0.079356161,-0.323100027,-0.025637138,0.342699072,-0.190822048,-0.236708009,0.105875437,-0.924776915,-1.369700136,0.23027776,-1.095551793,-0.333863322,0.118305092,-0.830182073,-0.133126809
Lymphoma,0.079285688,0.044581476,-0.979415948,0.087040946,-0.604442002,-0.036772085,-0.464959693,-0.177501442,-0.473630511,-0.160544517,0.240730344,0.106710563,0.073181383,-0.083789877,-0.156207852,-0.167236062,-0.254630829,-0.047209592,-0.049286372,-0.201506163,-0.533834453,-0.033448024,-0.227901971,-0.178715352,-0.082072553,-0.089883207,-0.891218057,0.074435657,-0.356951932,-0.097067588,-0.022108053,-0.053822737,-0.267093913,0.242665234,0.062320603,0.053878149,-0.29318076,-0.199576564,0.077650101,0.01077279,-0.1954582,-0.205741015,-0.060813801,-1.01453771,-2.351244827,-0.559270562,-0.649221654,-0.204544525,-0.705340654,-0.373391581,0.058509433,0.020001665,-0.197307683,-0.815539141,-0.194170454,-0.596352521,-0.067047682,0.517039955,-0.442280281,-0.142900809,-1.356888893,-0.140196264,-0.144810042,-1.252247875,-0.055271932,0.232803334,-0.263138065,0.022071839,0.001295241,-0.086720524,0.074650851,-0.070459107,-0.91768503,-2.207595615,-0.061524766,-1.078512539,-0.242307373,0.078337478,-0.676558671,0.070319003
Head and Neck Cancer,0.015711004,0.123884107,-0.325478231,0.23389037,-0.232656577,0.227252549,-0.229037123,-0.274482541,-0.702663712,-0.324210578,0.071654135,0.30648435,0.079265518,-0.131517677,-0.0314033,0.092097325,-0.272128367,0.089987224,-0.052764825,0.075302136,-0.374171891,-0.040518521,-0.163117976,-0.097747562,-0.00099764,-0.006562647,-1.506700565,0.202188011,-0.145294372,0.030403492,-0.090261948,-0.135837876,-0.0309627,0.218692346,0.160640241,-0.011540757,0.270648206,0.015685943,-0.133853692,0.008109848,-0.011786275,-0.122341099,0.138360517,-0.660215264,-0.788673879,-0.400783737,-0.153206718,-0.087199483,-0.13934733,-0.254934771,0.156218576,0.005964108,-0.001924426,-0.215973475,-0.465197194,-0.267674357,-0.237573106,0.183008528,0.127750473,0.115404044,-1.773968412,-0.113918791,-0.134270547,-1.004477916,0.094396902,0.097241062,0.121208822,0.015321541,-0.201751574,-0.035666928,-0.072828989,-0.340282722,-0.544994575,-1.464053943,-0.103352431,-0.869515843,-0.211158472,0.099308095,-0.320001403,0.214806377
Brain Cancer,-0.269090651,0.302428829,-0.318639471,-0.024682925,-0.78755006,0.006572012,-0.298493088,-0.226314344,-0.225748727,-0.30046078,-0.18718798,-0.087886319,0.018617666,0.09147345,-0.541491999,0.155519189,-0.132235764,-0.078481892,0.18958627,-0.354578909,-0.70992586,-0.150957037,0.017263363,0.135398552,0.072114088,-0.297172208,-0.937661476,0.087177765,-0.05161701,-0.452384498,0.161234032,-0.047579247,0.081640966,0.136700826,0.528602777,0.251941921,-0.116506011,-0.451364308,0.171485183,-0.092159776,-0.253128129,-0.297502323,0.294095267,-1.00547848,-1.224149161,-0.061951505,-0.663311821,-0.117305491,-0.068737266,-0.370481854,0.297294417,0.107012642,-0.236215759,-0.920617325,-0.191984697,-0.234105973,0.038919734,0.088218499,-0.408537616,-0.060673553,-0.696855426,-0.3126473,-0.330039406,-1.1782472,0.382229689,-0.351779211,0.229190474,0.293559131,-0.065261292,0.12235976,-0.090984344,-0.206733566,-1.21149652,-1.455347211,0.107654024,-1.216727931,-0.495568028,-0.124628242,-0.670978338,0.254978818
Bone Cancer,-0.015408573,0.021167765,-0.636593192,-0.134526664,-0.837594558,0.111278271,-0.061819777,-0.402314081,-0.094413665,-0.425058363,0.234034174,0.160428462,-0.014787478,0.193936448,-0.531681559,-0.003517629,-0.027296998,0.011457746,-0.002048333,0.024050433,-1.060131879,-0.267150571,-0.385004795,0.033402651,0.01859743,-0.036771687,-1.043347198,0.162391581,-0.651202463,0.230865063,0.21798717,-0.160901454,0.243404086,-0.075004171,0.097075187,0.248394976,-0.109446938,-0.513648775,0.350312528,-0.20319333,-0.311331265,0.136934716,0.293808911,-0.741408838,-1.191543619,-0.128644061,-0.388002176,-0.261444039,-0.527956788,-0.311156885,0.119682261,0.291147949,-0.451232071,-0.199294128,-0.132955376,-0.155013591,-0.357182244,-0.02135671,-0.009923549,0.019626477,-0.733373875,-0.609735887,-0.433000455,-0.935459012,0.148560786,-0.290958546,0.203290669,0.120945959,-0.215828564,0.264285105,0.050882598,0.213517703,-0.81002401,-1.763917141,0.017492674,-1.152103479,-0.545873444,-0.090720182,-0.544070034,0.251492324
Brain Cancer,0.084733634,0.102477505,-0.238675646,-0.033993487,-0.608902747,0.049381194,-0.277419746,-0.013703531,-0.316252254,-0.096661217,0.06724305,0.005766126,0.005248354,0.084779967,-0.426169,0.030233801,-0.034171561,-0.000432829,0.025346038,0.011603412,-0.333359703,-0.008275863,-0.650824478,-0.023487765,0.051468281,-0.07063926,-1.208329032,0.136323835,-0.130047071,-0.208567154,-0.062435419,-0.084305883,-0.063734155,0.053550014,0.1507789,0.082372657,0.05757819,-0.180169308,0.074674963,-0.099331089,-0.014698427,0.003005665,-0.093117256,-0.519484942,-0.567763957,-0.531966533,-0.568862913,-0.142624774,-0.285698236,-0.28512572,0.050985121,0.050347868,0.08573424,-0.540510694,-0.13974705,-0.199088192,-0.087547473,0.033934574,-0.235079916,0.008530014,-0.892704998,0.032307424,0.015830877,-1.186558051,0.164726951,0.013290311,0.020845097,0.118120104,-0.022198726,-0.055280881,0.021598416,-0.237824197,-1.01075752,-1.351480403,-0.007354898,-0.975840057,-0.058597774,-0.100808663,-0.445993952,-0.037960444
Brain Cancer,-0.03821966,0.029649149,-0.173000341,-0.118520283,-0.646928508,0.058119434,-0.174627619,-0.037387006,-0.25414322,-0.094250376,0.183000283,0.120769273,0.040091253,-0.116015689,-0.32686872,0.068812587,-0.030469264,0.099221423,0.116911109,0.024401386,-0.613648293,0.038908959,-0.278609245,-0.181707671,0.041074839,-0.197623318,-1.144784987,0.104931632,-0.107460596,-0.116896444,0.070698122,-0.180560616,-0.076170559,0.002769464,0.177186928,0.022816186,-0.082392171,-0.19637104,0.065442689,-0.081997863,0.004511053,-0.114509707,-0.119874525,-0.816629006,-0.894291634,-0.624528667,-0.764929968,0.007282367,-0.457940691,-0.345894114,0.070162189,0.071529144,-0.261485032,-0.273620765,-0.160404862,-0.175358803,-0.076412196,0.168507031,0.018829903,0.034656715,-1.058287507,0.056936062,-0.427646429,-1.360333254,0.106420849,-0.056207462,-0.045482556,0.056281817,-0.012524296,-0.069575072,-0.023236384,-0.27380353,-0.90502815,-1.666444667,0.025686771,-0.841957942,-0.087422568,-0.24692976,-0.346356248,-0.069813723
Liver Cancer,-0.104491897,0.145746793,-0.572800075,-0.138882362,-0.925294141,0.026494449,-0.295002079,-0.195089387,-0.208264653,-0.206285115,0.100881847,-0.002497585,0.088043723,-0.234161549,-0.122525237,-0.104195413,-0.185898104,0.017553841,0.093717082,-0.026634994,-0.803113228,0.131781432,-0.299609225,-0.056869688,-0.03862232,-0.003691952,-1.547569176,0.139609827,-0.172818969,-0.291482539,-0.04323554,-0.034045865,-0.098929835,-0.045043933,0.295450744,0.139430142,0.07598186,-0.393760024,-0.060212537,-0.056296948,-0.080208324,-0.010278962,-0.063118006,-0.729196756,-0.744163763,-0.427577542,-0.76432117,0.074909464,-0.340895676,-0.10536639,0.103496061,0.023679641,-0.0915895,-0.665034802,-0.202253327,-0.217962217,-0.278125834,0.085127518,-0.073568941,0.072778557,-1.223905113,-0.265391812,-0.101540708,-1.378449806,-0.037517414,0.111741494,-0.079151602,0.109627121,-0.001514584,-0.110639224,0.042654451,-0.282411823,-0.953766611,-2.118545267,-0.032654958,-1.242302348,-0.126469461,-0.131986895,-0.603845399,-0.031053468
Pancreatic Cancer,-0.002812092,0.157924431,-0.503030985,-0.256786712,-0.57747925,0.20324086,-0.425301378,-0.372025766,0.08000915,-0.19967011,0.033334203,-0.009753027,0.211924119,-0.106916911,-0.487778215,-0.01928726,-0.010728884,-0.115475832,-0.040322795,-0.150317275,-0.540769234,-0.159586621,-0.609410659,0.262913624,0.104604606,-0.445272757,-1.326228741,-0.203464453,-0.265185793,-0.183994189,0.061518335,-0.105993011,-0.064770255,0.004473962,-0.164835454,-0.070275137,-0.082817386,-0.372268509,0.242398248,0.015022418,-0.413362163,0.109472508,0.319218717,-0.629735736,-1.082244431,-0.167242625,-0.340472204,-0.360122968,-0.148596825,-0.535248843,0.046777879,0.134223463,-0.397022858,-0.178170557,-0.02263966,-0.219941905,-0.235504326,0.174374434,-0.105461023,-0.125374175,-0.917286858,-0.15471415,-0.536977571,-0.918458692,0.06990559,-0.285657702,0.192439501,0.049406008,0.13711439,-0.126418654,-0.06122511,-0.169290079,-1.098742785,-1.641409925,-0.130005501,-1.137287006,-0.319996982,0.028700679,-0.784376872,0.156139362
Breast Cancer,0.124719615,0.014276097,-0.304589333,-0.142805137,-0.702363305,-0.043647708,-0.354329589,-0.360012533,-0.375163856,-0.181560355,0.016176884,0.050334212,-0.069880498,0.093611451,-0.30185156,0.010388533,-0.13251167,-0.087858027,-0.073883712,-0.212872956,-0.313145702,-0.105276853,-0.636450259,-0.095979261,0.00031686,-0.048389159,-1.323935332,0.075621851,-0.231763738,-0.055754358,-0.133723942,-0.199646829,-0.060438002,0.022413695,0.110711206,0.018404674,-0.028307016,-0.175116409,0.027096265,0.074561171,-0.079305501,-0.087744218,-0.000674465,-0.360155096,-0.487527598,-0.668838545,-0.653040043,-0.170087538,-0.305420809,-0.268370895,0.056389623,-0.004761092,-0.240806269,-0.208111332,-0.304545826,-0.212719348,-0.197206685,0.264539839,-0.091792222,-0.03617225,-1.033665721,-0.061329755,-0.041309267,-1.299671698,0.000185768,-0.005925336,-0.049648749,0.068904012,0.131889153,-0.080524035,-0.06052478,-0.080831468,-0.870691725,-1.684505177,0.024539695,-0.767486563,-0.156450976,-0.074508243,-0.326732268,-0.007833733
Lymphoma,-0.066909682,0.093486003,-0.500264034,0.005285778,-0.703046369,-0.024021555,-0.361357935,-0.077856386,-0.464711739,-0.116330522,0.203027449,0.069175861,0.086309746,0.044562341,-0.318257331,-0.023814383,-0.017434266,-0.222437523,0.209755627,0.025544587,-0.933238301,0.005259685,-0.027003498,0.030656703,0.029633521,-0.109540374,-1.126538318,0.10131336,-0.241655046,-0.460281226,0.102494003,-0.325223886,-0.285227615,-0.199494955,0.289163128,0.085890152,0.078879413,-0.015489697,0.146336994,0.072779631,-0.098584017,-0.046530742,-0.073492934,-0.589562493,-1.227703096,-0.637637956,-0.933569011,-0.061608364,-0.17336574,-0.290070856,0.115174258,0.187383376,-0.112647666,-0.603934974,0.095900528,-0.224324278,0.032948231,0.145914337,-0.098967727,0.017469832,-0.71856709,0.070722926,-0.120033898,-1.169069984,0.132277902,0.104111427,-0.192834371,-0.033756917,-0.208966658,0.039881397,-0.055560731,-0.115955525,-0.723490643,-1.338600786,-0.086159555,-0.989753468,-0.136798027,0.156652512,-0.445143065,-0.004221554
Neuroblastoma,0.229082327,0.160148048,-0.326272942,0.22766241,-0.374959543,0.213598277,-0.177998996,-0.307481179,-0.017008038,0.235026617,0.151398291,0.234350626,-0.019433824,0.217791385,-0.447430648,-0.107163466,-0.261628826,-0.106856361,0.111278389,-0.216668267,-0.225394951,-0.102153686,-0.129885358,-0.136532424,0.081981756,-0.256786205,-0.957778448,-0.024876746,-0.09609597,0.453975371,0.3204282,-0.189361362,-0.042734993,-0.171677324,0.383464578,0.119547605,0.096410251,-0.131312434,0.235835682,0.066969022,-0.163152712,0.063241749,0.087070659,-0.921454095,-1.51303944,-0.182945436,-0.344704047,-0.132664613,-0.203605977,-0.232246416,0.131043596,0.264956184,-0.237677558,-0.308687869,-0.399254659,-0.148933609,0.053543085,0.127721056,0.158316782,0.101331579,-1.082425736,-0.140822915,-0.653929105,-1.276300838,0.127992017,-0.09340278,-0.073715811,0.220728226,-0.048741178,-0.518705737,-0.016601425,-0.251202749,-0.719378293,-1.626956938,-0.151812878,-0.685819161,-0.40665349,0.090921494,-0.473872577,0.09252688
Head and Neck Cancer,0.07981399,-0.022552967,-0.436162593,0.060894914,-0.313346123,-0.043291344,-0.036293273,-0.190730932,-0.442048965,-0.439463079,0.258283567,-0.057985928,0.003994361,-0.009754849,-0.359708737,0.08064451,-0.142983372,0.076429027,0.07610814,-0.077219587,-0.300974836,-0.038712591,-0.193225185,-0.109154536,-0.115451495,-0.11799816,-1.311574121,0.096049384,-0.190809325,-0.247962234,-0.167527517,-0.223448204,0.115784532,0.172419814,0.153161899,0.115235273,0.048066003,-0.171403045,-0.126877683,0.126302652,-0.075170172,-0.060136471,-0.244969281,-0.588079379,-0.643237266,-0.510348476,-0.411245174,-0.047725807,-0.499915878,-0.439692733,0.070995013,0.11017265,-0.00879294,-0.18997475,-0.400908304,-0.168135278,-0.262569425,0.239870693,-0.175886341,-0.00236973,-1.199745907,-0.291567582,-0.20343637,-1.080343052,0.076303567,0.074952143,-0.085673965,0.047139621,0.09551021,-0.219327892,-0.059170391,-0.178874208,-0.8677597,-1.854947399,-0.148962736,-1.087370672,-0.212316855,-0.098797905,-0.566513653,0.102146286
Brain Cancer,0.071722783,0.027206812,-0.259616984,0.013005861,-0.944799469,0.049396384,-0.11825953,-0.135680461,-0.253967415,-0.257516433,0.021590021,0.086200611,0.080459984,-0.001259432,-0.387818034,-0.083616173,0.011067353,0.078454755,0.02619824,-0.025463187,-0.871312793,-0.029271798,-0.176023544,-0.013749688,0.022780172,-0.186494296,-1.051018229,0.045320061,-0.07444458,-0.204370837,-0.186331427,-0.103349269,0.047767737,0.066393691,0.120712774,0.068457238,0.034107308,-0.144889519,0.016695642,-0.069093675,-0.03198455,-0.005322223,-0.180854189,-0.568806716,-0.309127659,-0.579198964,-0.957118384,-0.170617075,-0.224150818,-0.246451147,0.00895035,-0.082860348,-0.631997614,-0.440068438,-0.110345809,-0.238632576,-0.138384535,0.019671941,-0.10661533,0.04221975,-0.827646623,0.002098135,-0.365360318,-1.178489877,0.032929702,0.104480443,-0.035700633,0.012527227,0.047855241,-0.097486349,0.027648368,-0.096527952,-1.029171084,-1.498948421,0.059788685,-1.080956614,-0.129983427,0.019276686,-0.408571352,-0.06966434
Brain Cancer,0.138741253,0.037824754,-0.288615396,0.020094768,-0.905101034,0.111028554,-0.166387729,-0.263163947,-0.359686222,0.028887843,0.167298162,0.100772786,0.074105421,-0.038090399,-0.193187595,-0.010580329,-0.146078203,0.015375572,0.192156005,-0.030372989,-0.879681757,0.064438813,-0.080484893,0.064616642,0.015578736,-0.061862051,-1.319089201,0.032308578,-0.6554456,-0.167620673,-0.02054815,-0.161453289,-0.202074616,-0.143562087,0.181825407,0.116007857,-0.026500647,-0.085088329,0.043225865,-0.16435859,-0.097018908,0.074316827,-0.043049584,-0.702036247,-1.318865215,-0.176543014,-0.794011034,-0.214452053,-0.187112156,-0.554817509,0.077134778,-0.030689124,-0.52287585,-0.684389721,-0.297401284,-0.106557573,-0.021464245,0.127132815,-0.020935661,0.004722846,-1.104302576,-0.119206867,-0.355811559,-1.217642688,-0.006183506,0.083024996,-0.151216543,0.065482886,-0.025955349,-0.210720957,-0.081911843,-0.067432938,-0.962444492,-1.525731438,-0.086381905,-1.128206332,-0.024811514,0.032448507,-0.702364413,-0.104360177
Lymphoma,0.095988025,0.056661176,-0.341628663,-0.034836711,-0.655150257,-0.025133985,-0.50924737,-0.201011024,-0.355896749,-0.116529812,0.096181817,0.101596684,0.106639379,0.091358871,-0.578399816,0.110203133,-0.192855045,-0.127041393,0.078960537,0.04748932,-0.907347673,-0.03480059,-0.147892792,-0.183880753,0.12194587,-0.127820644,-1.271029084,0.220389977,-0.3924106,-0.03316058,0.056534902,-0.191291718,-0.148314289,0.029229457,0.198741569,0.10045829,-0.064848049,-0.166649132,0.114373728,0.01441059,0.031547307,0.008662236,0.113387361,-0.586903035,-1.624054447,-0.566393533,-0.341340278,-0.271385686,-0.296076466,-0.206659833,0.134588591,-0.013147054,-0.044640643,-0.296389517,-0.205678015,-0.286209539,-0.177535481,0.123021295,-0.125496542,-0.074618773,-1.047539385,-0.077877772,-0.309836854,-1.038343454,0.129221677,0.119157918,-0.087243778,0.044382611,0.008852743,-0.239990594,0.116356898,-0.047286002,-0.966043772,-1.580491501,-0.077379033,-1.209195396,-0.153424586,-0.012022799,-0.608178245,-0.136748242
Kidney Cancer,0.028033588,0.049663642,-0.183753621,0.081033347,-0.385755876,0.057981611,-0.402952996,-0.482717133,-0.309086074,-0.065831098,0.151281099,-0.095524348,0.034761872,0.074412888,-0.290723794,0.139619777,-0.167646968,-0.133890217,0.042740533,-0.300266487,-0.402357439,-0.06064619,-0.26075202,-0.142050827,-0.055362746,-0.307113932,-1.256512785,-0.067503301,-0.160725518,0.008625184,0.071094912,-0.130489486,0.116327541,0.034331517,0.108463521,0.055594673,-0.064304272,-0.373038695,-0.09763075,0.074590529,-0.139500242,0.025637193,0.035911702,-0.601707094,-0.911581715,-0.289476803,-0.073363014,-0.031524148,-0.362348675,-0.245521511,-0.003610204,-0.000692729,-0.048740514,-0.018324829,-0.302181319,-0.23706628,0.037989511,0.171627982,0.010528603,-0.099740192,-1.344654236,-0.329645748,-0.215663502,-1.07628778,0.113223095,-0.029598155,0.005715332,-0.006801636,0.061844717,-0.14375699,-0.01442984,-0.387565291,-0.811736249,-1.66573755,-0.078755306,-1.177448902,-0.177114698,-0.104537623,-0.698054962,0.015980305
Pancreatic Cancer,0.014524654,0.055620195,-0.256573618,-0.19100552,-0.484341562,0.062587038,-0.28269439,-0.130805024,-0.187098237,-0.108394605,0.094600362,0.056835011,0.070508741,0.018376991,-0.514797135,0.021798321,-0.104341219,-0.007423907,0.056732635,0.007206334,-0.077209524,0.022963151,-0.07764885,-0.054614325,0.024786455,-0.190239191,-1.21230505,0.048854439,-0.157242265,-0.195102153,-0.360668548,-0.086956184,-0.068488315,0.011601662,0.103336647,0.022687445,0.060820366,-0.132081486,-0.037367544,0.034280263,-0.149850147,-0.074670869,-0.091494758,-0.647681186,-0.472840837,-0.466544334,-0.595730637,-0.063296196,-0.068778333,-0.659730912,0.045992819,0.008686943,0.055669191,-0.344697012,-0.249118325,-0.218670503,-0.111073293,0.104582122,0.151485186,-0.025680086,-0.888064055,0.037691201,-0.102008393,-1.208360291,0.144024024,-0.035185999,-0.051269492,0.060954913,-0.013752418,-0.152278233,0.005379533,-0.234681065,-0.807234365,-1.441675803,-0.007344593,-0.878367337,-0.085027502,-0.004280734,-0.436773988,0.021178961
Ovarian Cancer,0.049760311,0.034613587,-0.348551345,-0.003035686,-0.507184639,0.090867933,-0.197287937,-0.055629557,-0.246717976,-0.238230061,0.053900542,-0.027503344,0.025251945,0.140590292,-0.239604405,-0.036173257,-0.032579458,-0.06856824,-0.074208735,-0.010103632,-0.350354082,-0.038099642,-0.211225839,-0.138609963,0.120397248,-0.232111549,-1.375884089,0.063149743,0.031364351,0.082206855,-0.135849995,0.035717114,-0.162596751,-0.025287117,0.217859141,0.170755856,0.169674345,-0.092809257,0.037687537,-0.05654809,-0.094343509,-0.052863696,-0.037673769,-0.670165507,-1.077360678,-0.494823955,-0.819748498,-0.142287182,-0.111338857,-0.265603236,0.004807673,0.065611706,0.022033585,-0.25936204,-0.281856879,-0.215985865,-0.04587806,0.065673478,-0.053842906,-0.012200168,-1.121393602,-0.222934602,0.071724351,-1.037283818,0.043812279,0.061877153,-0.035213922,0.106715882,0.111857281,-0.244132592,-0.061721295,-0.070813049,-0.858296066,-1.631301881,-0.06162027,-1.238052475,-0.121264804,-0.007972172,-0.363058846,0.023556996
Head and Neck Cancer,-0.056983722,0.016683691,-0.399895922,-0.144130678,-0.549999676,0.15320514,-0.087887974,-0.269575037,-0.353216676,-0.197652014,0.051215237,0.261489928,0.013066961,0.054733648,-0.437212798,0.085624429,-0.057274027,0.117108303,-0.090132495,-0.120687228,-0.730943735,-0.10459847,-0.384463989,-0.215963779,-0.003741665,-0.27028185,-1.22103114,0.092551433,-0.07532081,-0.055549162,-0.32865415,-0.156367742,0.070645821,-0.008616302,0.035372866,-0.110105079,0.085830454,-0.108367681,0.020581991,-0.044880955,-0.024103803,-0.006327757,-0.070068502,-0.531357042,-1.197173701,-0.306200273,-0.662121223,-0.316859539,-0.307039423,-0.323365332,0.083022439,0.041611624,-0.071176171,-0.161500847,-0.139557322,-0.315619379,-0.128133361,0.105765893,-0.046214263,0.142485054,-0.951397141,0.154320688,-0.099219218,-1.209655249,0.072627205,0.014909233,-0.157401851,-0.044932501,0.141847144,-0.122255343,0.020395925,-0.305094559,-0.866753246,-1.855537507,0.088219404,-0.945730034,-0.01506162,0.047951189,-0.675911913,0.033439964
